time,tag,Number,LQI,xacc,yacc,zacc,datatype,
2023/11/07 16:17:18.132,82019EFE,8,213,-993,187,220,0,
2023/11/07 16:17:19.125,82019EFE,9,213,-995,174,197,0,
2023/11/07 16:17:20.112,82019EFE,10,213,-990,160,226,0,
2023/11/07 16:17:21.107,82019EFE,11,213,-988,130,232,0,
2023/11/07 16:17:22.107,82019EFE,12,213,-1001,88,234,0,
2023/11/07 16:17:23.090,82019EFE,13,213,-1007,68,257,0,
2023/11/07 16:17:24.073,82019EFE,14,213,-1005,80,237,0,
2023/11/07 16:17:25.069,82019EFE,15,210,-1002,93,237,0,
2023/11/07 16:17:26.057,82019EFE,16,213,-1000,91,240,0,
2023/11/07 16:17:27.056,82019EFE,17,213,-1002,94,235,0,
2023/11/07 16:17:28.052,82019EFE,18,213,-1004,100,234,0,
2023/11/07 16:17:29.048,82019EFE,19,210,-1000,106,236,0,
2023/11/07 16:17:30.031,82019EFE,20,213,-1009,100,240,0,
2023/11/07 16:17:31.019,82019EFE,21,213,-1000,101,240,0,
2023/11/07 16:17:32.014,82019EFE,22,210,-1004,98,235,0,
2023/11/07 16:17:33.002,82019EFE,23,213,-998,99,235,0,
2023/11/07 16:17:33.997,82019EFE,24,213,-1002,99,234,0,
2023/11/07 16:17:34.981,82019EFE,25,210,-1002,102,235,0,
2023/11/07 16:17:35.967,82019EFE,26,210,-1004,98,234,0,
2023/11/07 16:17:36.959,82019EFE,27,213,-1004,105,237,0,
2023/11/07 16:17:39.694,82019EFE,1,213,-1004,103,234,0,
2023/11/07 16:17:40.683,82019EFE,2,213,-1001,99,235,0,
2023/11/07 16:17:41.676,82019EFE,3,210,-1003,103,234,0,
2023/11/07 16:17:42.669,82019EFE,4,213,-1002,104,233,0,
2023/11/07 16:17:43.654,82019EFE,5,213,-1002,102,233,0,
2023/11/07 16:17:44.650,82019EFE,6,210,-1002,106,238,0,
2023/11/07 16:17:45.640,82019EFE,7,213,-1000,105,234,0,
2023/11/07 16:17:48.363,82019EFE,1,213,-1003,107,232,0,
2023/11/07 16:17:49.351,82019EFE,2,213,-1002,104,234,0,
2023/11/07 16:17:50.345,82019EFE,3,213,-1004,105,237,0,
2023/11/07 16:17:51.334,82019EFE,4,213,-1004,105,233,0,
2023/11/07 16:17:54.067,82019EFE,1,213,-1000,107,233,0,
2023/11/07 16:17:55.058,82019EFE,2,210,-1000,107,234,0,
2023/11/07 16:17:56.100,82019EFE,3,210,-1002,104,233,0,
2023/11/07 16:17:57.090,82019EFE,4,213,-1003,106,233,0,
2023/11/07 16:17:58.097,82019EFE,5,216,-990,138,272,0,
2023/11/07 16:17:59.118,82019EFE,6,216,-966,188,308,0,
2023/11/07 16:18:00.075,82019EFE,7,216,-964,177,310,0,
2023/11/07 16:18:03.793,82019EFE,2,213,-973,159,304,0,
2023/11/07 16:18:06.526,82019EFE,1,216,-964,176,326,0,
2023/11/07 16:18:07.519,82019EFE,2,216,-966,171,316,0,
2023/11/07 16:18:08.506,82019EFE,3,216,-967,174,314,0,
2023/11/07 16:18:09.499,82019EFE,4,216,-968,174,312,0,
2023/11/07 16:18:10.480,82019EFE,5,216,-972,169,313,0,
2023/11/07 16:18:11.463,82019EFE,6,216,-969,168,310,0,
2023/11/07 16:18:12.464,82019EFE,7,216,-969,164,314,0,
2023/11/07 16:18:13.446,82019EFE,8,213,-981,147,294,0,
2023/11/07 16:18:14.456,82019EFE,9,213,-993,124,254,0,
2023/11/07 16:18:15.432,82019EFE,10,213,-999,113,236,0,
2023/11/07 16:18:16.424,82019EFE,11,213,-1002,110,222,0,
2023/11/07 16:18:17.419,82019EFE,12,213,-1001,111,229,0,
2023/11/07 16:18:18.412,82019EFE,13,213,-999,114,228,0,
