時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧
2023-05-16 16:01:50.825,1,82019B41,No Relay,1,138,2930
2023-05-16 16:01:53.216,1,82019B41,No Relay,2,186,2930
2023-05-16 16:01:55.748,1,82019B41,No Relay,3,159,2930
2023-05-16 16:02:00.889,1,82019CFB,No Relay,1,150,2655
2023-05-16 16:02:01.077,1,82019B41,No Relay,5,192,2940
2023-05-16 16:02:03.374,1,82019CFB,No Relay,2,156,2665
2023-05-16 16:02:03.671,1,82019B41,No Relay,6,132,2940
2023-05-16 16:02:07.860,1,8201A0FF,No Relay,1,183,3060
2023-05-16 16:02:08.657,1,82019CFB,No Relay,4,153,2660
2023-05-16 16:02:10.641,1,8201A0FF,No Relay,2,168,3070
2023-05-16 16:02:11.751,1,82019B41,No Relay,9,162,2940
2023-05-16 16:02:14.313,1,82019B41,No Relay,10,156,2940
2023-05-16 16:02:19.330,1,82019B41,No Relay,12,168,2940
2023-05-16 16:02:22.080,1,82019B41,No Relay,13,156,2940
2023-05-16 16:02:25.862,1,8201A0FF,No Relay,8,150,3070
2023-05-16 16:02:27.112,1,82019CFB,No Relay,11,78,2665
2023-05-16 16:02:27.393,1,82019B41,No Relay,15,150,2940
2023-05-16 16:02:28.253,1,8201A0FF,No Relay,9,144,3070
2023-05-16 16:02:29.847,1,82019CFB,No Relay,12,141,2660
2023-05-16 16:02:30.238,1,82019B41,No Relay,16,159,2940
2023-05-16 16:02:30.801,1,8201A0FF,No Relay,10,144,3070
2023-05-16 16:02:32.739,1,82019B41,No Relay,17,159,2950
2023-05-16 16:02:33.567,1,8201A0FF,No Relay,11,159,3070
2023-05-16 16:02:35.301,1,82019B41,No Relay,18,162,2950
2023-05-16 16:02:36.020,1,8201A0FF,No Relay,12,153,3070
2023-05-16 16:02:37.942,1,82019B41,No Relay,19,156,2940
2023-05-16 16:02:40.802,1,82019B41,No Relay,20,159,2950
2023-05-16 16:02:43.506,1,82019B41,No Relay,21,147,2950
2023-05-16 16:02:46.365,1,82019B41,No Relay,22,141,2950
2023-05-16 16:02:49.084,1,82019B41,No Relay,23,159,2950
2023-05-16 16:02:51.929,1,82019B41,No Relay,24,147,2940
2023-05-16 16:02:57.007,1,82019B41,No Relay,26,159,2950
2023-05-16 16:03:01.758,1,82019CFB,No Relay,9,132,2765
2023-05-16 16:03:04.821,1,82019B41,No Relay,29,150,2950
2023-05-16 16:03:12.432,1,82019B41,No Relay,32,147,2950
2023-05-16 16:03:15.073,1,82019B41,No Relay,33,150,2950
2023-05-16 16:03:17.495,1,82019B41,No Relay,34,147,2950
2023-05-16 16:03:20.073,1,82019B41,No Relay,35,162,2950
2023-05-16 16:03:20.276,1,82019CFB,No Relay,16,123,2755
