time,pino,tagid
2022-10-08 10:50:52,3.0,82019EFE
2022-10-08 10:50:54,3.0,820198E4
2022-10-08 10:50:54,3.0,82019EFE
2022-10-08 10:50:56,3.0,82019EFE
2022-10-08 10:50:56,5.0,820198E4
2022-10-08 10:50:58,3.0,82019EFE
2022-10-08 10:50:58,5.0,820198E4
2022-10-08 10:51:00,3.0,82019EFE
2022-10-08 10:51:00,5.0,820198E4
2022-10-08 10:51:02,3.0,82019EFE
2022-10-08 10:51:02,5.0,820198E4
2022-10-08 10:51:04,3.0,82019EFE
2022-10-08 10:51:04,5.0,820198E4
2022-10-08 10:51:06,3.0,82019EFE
2022-10-08 10:51:06,5.0,820198E4
2022-10-08 10:51:08,5.0,820198E4
2022-10-08 10:51:08,3.0,82019EFE
2022-10-08 10:51:10,5.0,820198E4
2022-10-08 10:51:10,3.0,82019EFE
2022-10-08 10:51:12,5.0,820198E4
2022-10-08 10:51:12,3.0,82019EFE
2022-10-08 10:51:14,5.0,820198E4
2022-10-08 10:51:14,3.0,82019EFE
2022-10-08 10:51:16,3.0,82019EFE
2022-10-08 10:51:16,5.0,820198E4
2022-10-08 10:51:18,3.0,82019EFE
2022-10-08 10:51:18,5.0,820198E4
2022-10-08 10:51:20,3.0,82019EFE
2022-10-08 10:51:20,5.0,820198E4
2022-10-08 10:51:22,5.0,820198E4
2022-10-08 10:51:22,3.0,82019EFE
2022-10-08 10:51:24,3.0,82019EFE
2022-10-08 10:51:24,5.0,820198E4
2022-10-08 10:51:26,5.0,820198E4
2022-10-08 10:51:26,3.0,82019EFE
2022-10-08 10:51:28,3.0,82019EFE
2022-10-08 10:51:28,5.0,820198E4
2022-10-08 10:51:30,5.0,820198E4
2022-10-08 10:51:30,3.0,82019EFE
2022-10-08 10:51:32,5.0,820198E4
2022-10-08 10:51:32,3.0,82019EFE
2022-10-08 10:51:34,3.0,82019EFE
2022-10-08 10:51:34,5.0,820198E4
2022-10-08 10:51:36,3.0,82019EFE
