時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2022/10/08 10:50:50.136,1,82019EFE,No Relay,1,126,3150,2
2022/10/08 10:50:50.155,1,82019EFE,No Relay,1,132,3150,5
2022/10/08 10:50:52.757,1,82019EFE,No Relay,2,114,3150,2
2022/10/08 10:50:52.764,1,82019EFE,No Relay,2,96,3150,3
2022/10/08 10:50:52.776,1,82019EFE,No Relay,2,90,3150,5
2022/10/08 10:50:54.330,1,820198E4,No Relay,1,123,3140,3
2022/10/08 10:50:54.336,1,820198E4,No Relay,1,108,3140,2
2022/10/08 10:50:55.419,1,82019EFE,No Relay,3,102,3150,3
2022/10/08 10:50:55.425,1,82019EFE,No Relay,3,132,3150,2
2022/10/08 10:50:55.429,1,82019EFE,No Relay,3,120,3150,5
2022/10/08 10:50:57.055,1,820198E4,No Relay,2,120,3140,2
2022/10/08 10:50:57.062,1,820198E4,No Relay,2,159,3140,3
2022/10/08 10:50:57.072,1,820198E4,No Relay,2,168,3140,5
2022/10/08 10:50:58.072,1,82019EFE,No Relay,4,96,3150,3
2022/10/08 10:50:58.078,1,82019EFE,No Relay,4,135,3150,2
2022/10/08 10:50:58.081,1,82019EFE,No Relay,4,147,3150,5
2022/10/08 10:50:59.468,1,820198E4,No Relay,3,147,3140,2
2022/10/08 10:50:59.476,1,820198E4,No Relay,3,150,3140,3
2022/10/08 10:50:59.486,1,820198E4,No Relay,3,159,3140,5
2022/10/08 10:51:00.715,1,82019EFE,No Relay,5,135,3160,2
2022/10/08 10:51:02.328,1,820198E4,No Relay,4,123,3140,2
2022/10/08 10:51:02.335,1,820198E4,No Relay,4,132,3140,3
2022/10/08 10:51:02.345,1,820198E4,No Relay,4,168,3140,5
2022/10/08 10:51:03.561,1,82019EFE,No Relay,6,132,3150,2
2022/10/08 10:51:03.575,1,82019EFE,No Relay,6,135,3150,5
2022/10/08 10:51:05.156,1,820198E4,No Relay,5,111,3140,2
2022/10/08 10:51:05.164,1,820198E4,No Relay,5,60,3140,3
2022/10/08 10:51:05.175,1,820198E4,No Relay,5,114,3140,5
2022/10/08 10:51:06.024,1,82019EFE,No Relay,7,114,3150,2
2022/10/08 10:51:06.033,1,82019EFE,No Relay,7,111,3150,3
2022/10/08 10:51:06.038,1,82019EFE,No Relay,7,126,3150,5
2022/10/08 10:51:07.957,1,820198E4,No Relay,6,105,3140,5
2022/10/08 10:51:08.613,1,82019EFE,No Relay,8,117,3150,2
2022/10/08 10:51:08.621,1,82019EFE,No Relay,8,108,3150,3
2022/10/08 10:51:08.625,1,82019EFE,No Relay,8,132,3150,5
2022/10/08 10:51:10.534,1,820198E4,No Relay,7,93,3140,3
2022/10/08 10:51:10.540,1,820198E4,No Relay,7,108,3140,2
2022/10/08 10:51:10.546,1,820198E4,No Relay,7,144,3140,5
2022/10/08 10:51:12.908,1,820198E4,No Relay,8,132,3140,2
2022/10/08 10:51:12.915,1,820198E4,No Relay,8,96,3140,3
2022/10/08 10:51:12.927,1,820198E4,No Relay,8,150,3140,5
2022/10/08 10:51:13.487,1,82019EFE,No Relay,10,126,3160,2
2022/10/08 10:51:13.496,1,82019EFE,No Relay,10,141,3160,3
2022/10/08 10:51:13.498,1,82019EFE,No Relay,10,84,3160,5
2022/10/08 10:51:15.729,1,820198E4,No Relay,9,105,3140,3
2022/10/08 10:51:15.735,1,820198E4,No Relay,9,120,3140,2
2022/10/08 10:51:15.740,1,820198E4,No Relay,9,90,3140,5
2022/10/08 10:51:18.556,1,820198E4,No Relay,10,102,3140,3
2022/10/08 10:51:18.915,1,82019EFE,No Relay,12,99,3160,3
2022/10/08 10:51:18.920,1,82019EFE,No Relay,12,123,3160,2
2022/10/08 10:51:18.930,1,82019EFE,No Relay,12,144,3160,5
2022/10/08 10:51:21.623,1,82019EFE,No Relay,13,105,3150,2
2022/10/08 10:51:21.645,1,82019EFE,No Relay,13,117,3150,5
2022/10/08 10:51:23.853,1,820198E4,No Relay,12,114,3140,2
2022/10/08 10:51:23.860,1,820198E4,No Relay,12,108,3140,5
2022/10/08 10:51:23.861,1,820198E4,No Relay,12,69,3140,3
2022/10/08 10:51:24.240,1,82019EFE,No Relay,14,105,3160,3
2022/10/08 10:51:24.243,1,82019EFE,No Relay,14,105,3160,2
