時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2023/05/12 17:38:57.319,1,820198C1,No Relay,42,201,3140,6
2023/05/12 17:38:58.469,1,82019CF3,No Relay,42,144,2980,6
2023/05/12 17:38:58.469,1,82019CF3,No Relay,42,189,2980,3
2023/05/12 17:38:59.691,1,820198C1,No Relay,43,201,3150,6
2023/05/12 17:38:59.694,1,820198C1,No Relay,43,198,3150,3
2023/05/12 17:39:00.898,1,82019CF3,No Relay,43,192,2980,3
2023/05/12 17:39:00.898,1,82019CF3,No Relay,43,153,2980,6
2023/05/12 17:39:02.351,1,820198C1,No Relay,44,201,3140,6
2023/05/12 17:39:02.383,1,82019F2E,No Relay,44,168,2505,3
2023/05/12 17:39:02.547,1,82019F2E,No Relay,44,156,2505,6
2023/05/12 17:39:03.477,1,82019CF3,No Relay,44,192,2980,3
2023/05/12 17:39:03.478,1,82019CF3,No Relay,44,135,2980,6
2023/05/12 17:39:04.939,1,820198C1,No Relay,45,201,3140,6
2023/05/12 17:39:04.948,1,820198C1,No Relay,45,195,3140,3
2023/05/12 17:39:05.152,1,82019F2E,No Relay,45,162,2490,3
2023/05/12 17:39:05.152,1,82019F2E,No Relay,45,153,2490,6
2023/05/12 17:39:06.114,1,82019CF3,No Relay,45,189,2980,3
2023/05/12 17:39:07.425,1,820198C1,No Relay,46,201,3140,6
2023/05/12 17:39:07.431,1,820198C1,No Relay,46,195,3140,3
2023/05/12 17:39:08.980,1,82019CF3,No Relay,46,189,2980,3
2023/05/12 17:39:08.985,1,82019CF3,No Relay,46,141,2980,6
2023/05/12 17:39:09.890,1,820198C1,No Relay,47,195,3140,3
2023/05/12 17:39:10.418,1,82019F2E,No Relay,47,162,2485,3
2023/05/12 17:39:10.435,1,82019F2E,No Relay,47,159,2485,6
2023/05/12 17:39:12.633,1,820198C1,No Relay,48,204,3140,6
2023/05/12 17:39:12.646,1,820198C1,No Relay,48,195,3140,3
2023/05/12 17:39:13.023,1,82019F2E,No Relay,48,159,2495,6
2023/05/12 17:39:13.034,1,82019F2E,No Relay,48,162,2495,3
2023/05/12 17:39:14.145,1,82019CF3,No Relay,48,192,2980,3
2023/05/12 17:39:14.161,1,82019CF3,No Relay,48,147,2980,6
2023/05/12 17:39:15.381,1,820198C1,No Relay,49,195,3140,3
2023/05/12 17:39:15.391,1,820198C1,No Relay,49,201,3140,6
2023/05/12 17:39:15.816,1,82019F2E,No Relay,49,168,2495,6
2023/05/12 17:39:15.822,1,82019F2E,No Relay,49,168,2495,3
2023/05/12 17:39:18.245,1,820198C1,No Relay,50,195,3140,3
2023/05/12 17:39:18.256,1,820198C1,No Relay,50,201,3140,6
2023/05/12 17:39:18.433,1,82019F2E,No Relay,50,168,2505,3
2023/05/12 17:39:18.439,1,82019F2E,No Relay,50,162,2505,6
2023/05/12 17:39:19.673,1,82019CF3,No Relay,50,138,2980,6
2023/05/12 17:39:20.924,1,82019F2E,No Relay,51,162,2505,6
2023/05/12 17:39:20.942,1,82019F2E,No Relay,51,168,2505,3
2023/05/12 17:39:22.282,1,82019CF3,No Relay,51,141,2980,6
2023/05/12 17:39:22.297,1,82019CF3,No Relay,51,186,2980,3
2023/05/12 17:39:23.542,1,82019F2E,No Relay,52,159,2490,6
